formula,Temperature,sigma (S/cm)
BaF2 rt,620.0,1.4e-06
BaB6,600.0,4900.0
CaB6,600.0,270.0
CaB6,298.0,6.0
CaB6,298.0,193.0
CaB6,298.0,6500.0
CaB6,298.0,42900.0
SrB6,600.0,2200.0
CaF2 rt,415.0,9.999999999999999e-10
CaF2 rt,480.0,5.7e-08
CaF2 rt,423.0,1e-11
CaF2 rt,1400.0,1.7
CaF2 rt,1600.0,0.5
CdTe rt,298.0,4.201e-10
CdTe rt,293.0,1.3000000000000002e-10
CdTe rt,413.0,1.3e-07
Fe1.11Te rt,289.0,1500.0
GaSb rt,298.0,10580.0
GaSb rt,298.0,0.002129
GaSb rt,77.0,8.91
GaSb rt,112.0,15.03
GaSb rt,146.0,16.89
GaSb rt,77.0,8.63
GaSb rt,112.0,14.55
GaSb rt,146.0,16.39
GaSb rt,100.0,54.0
GaSb rt,100.0,88.5
NbO2 ht,1125.0,25.0
WO3 ht2,923.0,0.019
WO3 ht2,923.0,0.026
Be12Mo,305.0,50000.0
Be12Mo,1522.0,7700.0
Si15B290,295.0,1.0
Si15B290,295.0,0.68
Fe2.1B103.2 rhom1,300.0,0.0105
Fe2.1B103.2 rhom1,53.0,1.7e-06
Bi0.88Sb0.12,100.0,318.0
Bi0.88Sb0.12,298.0,1125.0
Bi0.88Sb0.12,300.0,6260.0
Bi0.88Sb0.12,300.0,5495.0
CdSe rt hex,298.0,1.0
CdSe rt hex,13.0,0.002
CdSe rt hex,1.8,0.00012
CdSe rt hex,298.0,0.3
Na4Si23,110.0,440.0
InN rt,298.0,172.0
InN rt,298.0,140.0
CoSb3,500.0,500.0
CoSb3,298.0,338.0
CoSb3,298.0,215.0
CoSb3,310.0,109.0
CoSb3,298.0,320.0
CoSb3,298.0,330.0
CoSb3,298.0,72.82
CoSb3,375.0,2650.0
CoSb3,775.0,1330.0
CoSb3,298.0,1748.0
CoSb3,76.0,5.2
CoSb3,298.0,30.0
CoSb3,298.0,30.877
CoSb3,780.0,380.0
CoSb3,298.0,82.0
