formula,Temperature,sigma (S/cm)
K0.3Na1.7Cu0.003Ti2.997O7 rt,500.0,3.01e-06
K0.3Na1.7Cu0.003Ti2.997O7 rt,373.0,2.4e-06
K0.3Na1.7Cu0.003Ti2.997O7 rt,698.0,6.3e-05
K0.3Na1.7Cu0.003Ti2.997O7 rt,373.0,8.9e-06
K0.3Na1.7Cu0.003Ti2.997O7 rt,698.0,8.9e-05
Zn0.67TiNb0.83Bi1.5O7,298.0,1.36e-10
Ca12Al14O33,300.0,0.09
Ca12Al14O33,50.0,5e-08
Ca12Al14O33,550.0,1.82e-06
Ca0.4La0.467Ti0.8Cr0.2O3,673.0,0.00039
Ca0.4La0.4TiO3 ht,1173.0,0.0005
Ga0.5In0.5N hex,298.0,504.0
Mo0.99Re0.01Se2,298.0,70.3
Mo0.99Re0.01Se2,298.0,0.25
Mo2Bi6O15 ht,1100.0,0.00624
Bi1.983Te2.648Se0.283Ox,400.0,668.0
Cu0.01Bi1.99Te2.7Se0.3,298.0,807.0
Cu0.01Bi1.99Te2.7Se0.3,298.0,727.0
La0.889Mo0.867Al0.022O4 ht,714.0,5.62e-05
La0.889Mo0.867Al0.022O4 ht,909.0,0.019
La0.889Nb0.022Mo0.867O4 ht,909.0,0.0062
TlGa0.5In0.5S2,298.0,2e-13
Al0.09Bi1.96Te2.69I0.26,300.0,1005.0
Bi1.93Sb0.09Te2.72I0.26,300.0,902.0
Cu0.00309Ge0.0125Bi1.9969Te2.9875,300.0,700.0
Ba0.97Zn0.04Y0.16Zr0.8O3,1000.0,0.0021
Ba0.97Zn0.04Y0.16Zr0.8O3,1000.0,0.000143
Ba0.97Zn0.04Y0.16Zr0.8O3,1000.0,4.16e-05
Ba0.97Zn0.04Y0.16Zr0.8O3,1000.0,0.0003549999999999
Ba0.97Zn0.04Y0.16Zr0.8O3,1000.0,0.000166
SrTi4FeBi5O18 rt,673.0,3.09e-06
SrTi4FeBi5O18 rt,733.0,7.299999999999999e-06
SrTi4FeBi5O18 rt,714.0,5.379999999999999e-06
Nb0.5Fe0.5PbO3 rt rhom,573.0,3e-06
Nb0.5Fe0.5PbO3 rt rhom,674.0,2e-05
Nb0.5Fe0.5PbO3 rt rhom,380.0,9.999999999999999e-10
Nb0.5Fe0.5PbO3 rt rhom,473.0,1.2e-08
Nb0.5Fe0.5PbO3 rt rhom,308.0,2.9e-08
Nb0.5Fe0.5PbO3 rt rhom,308.0,2.9e-08
Nb0.5Fe0.5PbO3 rt rhom,298.0,1.5000000000000002e-08
BaCu0.2Ti0.4Nb0.4O3 rt rt,373.0,2.5e-07
Ba4Zn1.4Ga8Ge13.6,298.0,72.0
Sr0.5Eu0.5Ti0.8Nb0.2O3,298.0,59000.0
GaSixN,250.0,25.8
GaSixN,400.0,19.5
GaSixN,250.0,27.6
GaSixN,400.0,20.8
Nd4Ti0.2Ga1.8O9.1,1073.0,3.16e-05
Nd4Ti0.2Ga1.8O9.1,1073.0,8.12e-06
Nd4Ga1.9Ge0.1O9.05,1073.0,5.62e-05
Nd4Ga1.9Ge0.1O9.05,1073.0,0.0001
Mo10Sb1.82As0.18O31,500.0,0.000369
Tm2[WO4]3,873.0,4.7e-05
Tm2[WO4]3,873.0,3.2e-05
Na3Hf1.775Si1.1P1.9O12,300.0,9.7e-05
Sr0.2Cu0.25La0.8Mn0.1875Fe0.5625O2.775,1073.0,2.9
Sr0.2Cu0.25La0.8Mn0.1875Fe0.5625O2.775,1073.0,15.1
Na1.5Ca0.25Ga2[BO3]2O,773.0,5.1e-07
V1.9Bi4P0.1O11 orth2,714.0,0.0032
V1.9Bi4P0.1O11 orth2,714.0,0.0001
V0.95Bi2P0.05O5.5,833.0,0.053
Fe0.5Bi6.5P2O15.5 rt,714.0,4.79e-07
ZrNi0.7Pd0.3Sn,330.0,1.48e-06
ZrNi0.7Pt0.3Sn,330.0,4.53e-06
Ba0.32Co3.925Pd0.075Sb12,298.0,3000.0
NdCoO3 hp1,370.0,0.012
Fe0.375Co0.25Ni0.375Sb3,320.0,412.0
Li0.4Zn0.4In0.6Sb,298.0,3400.0
Ca0.05Mg1.95Si,340.0,1260.0
Ti0.05Sn0.94Sb0.01O2,621.0,30.7
Tl2Sn0.75Ge0.25Te5,298.0,53.43
Ag0.05Pb0.85Sb0.05Se0.95,298.0,9.5
Pb0.25Sn0.25Ge0.5Te ht,298.0,300.0
Rb1.9Sn4.8Bi10.3Se21,298.0,200.0
Cs0.8Sn4.3Bi10.6Se21,298.0,170.0
Ca0.96Nb0.04Mn0.96Bi0.04O3,370.0,102.3
PbTeBrx,298.0,979.3
Ca1.8MnBi0.2O4,1150.0,16.2
Ca3Co4O9 rt,870.0,105.0
Ca3Co4O9 rt,320.0,87.0
Zn6.67Sb4.93Te0.07 rt,298.0,920.0
Zn0.5Zr1.5Nb0.5Bi1.5O7,298.0,2.95e-11
Zn0.5Ce1.5Nb0.5Bi1.5O7,298.0,3.89e-14
TiNiSn0.998Sb0.002,300.0,1000.0
Ca2MnO3.8,298.0,1.1e-07
Al0.2Bi0.45Sb1.35Te3,298.0,510.0
Al0.2Bi0.45Sb1.35Te3,564.0,360.0
CdGa3InS7,833.0,1.85e-07
Sr2Ti0.8Nb2Fe0.2BiO12,1073.0,0.00083
Sr2Ti0.8Nb2Fe0.2BiO12,923.0,0.00126
Sr2TiNb2Pb0.2Bi1.8O12 ht,1073.0,0.000631
Sr2TiNb2Pb0.2Bi1.8O12 ht,923.0,0.000107
Sr2Ti0.8Nb2Mn0.2BiO12,1073.0,0.000708
Sr0.4Nd0.6Ti0.2Co0.8O3,500.0,323.0
Sr0.4Cu0.2Nd0.6Co0.8O3,500.0,1202.0
Sr0.4Nd0.6Cr0.2Co0.8O3,500.0,794.0
Sr2.4La0.4[PO4]2,1323.0,0.0014399999999999
Sr2.4La0.4[VO4]0.8[PO4]1.2,1323.0,0.0032
Cu0.6La2Ni0.4O4.06,623.0,22.5
BaPr0.9Yb0.1O3,573.0,0.00113
Li1.27Y0.02Sc0.25Ti1.73[PO4]3,470.0,0.0023799999999999
Li1.27Y0.02Sc0.25Ti1.73[PO4]3,298.0,0.00179
Li1.27Y0.02Sc0.25Ti1.73[PO4]3,360.0,0.0011
LaYCeZrO7,1073.0,0.0018479999999999
V1.9Fe0.1Bi4O10.9 mon,500.0,1.35e-05
Cu0.2V1.8Bi4O10.7 mon,623.0,0.00108
Cu0.025Ti0.025V1.95Bi4O10.95 orth,625.0,0.3
Cu0.025Ti0.025V1.95Bi4O10.95 mon,500.0,0.147
Na3[UO2]7[VO4]5O,800.0,0.009
Mn0.67Ni0.33BiO3 ht,298.0,0.00014
SrTa1.95W0.05Bi2O9 ht,667.0,1.52e-08
SrTa1.95W0.05Bi2O9 ht,588.0,4.999999999999998e-10
SrTa1.95W0.05Bi2O9 ht,720.0,1e-06
H0.98Y0.02Zr1.98[PO4]3,500.0,3.32e-07
H0.98Y0.02Zr1.98[PO4]3,298.0,2.97e-08
RbBaSm[MoO4]3,573.0,0.0074399999999999
RbBaSm[MoO4]3,873.0,0.00565
RbBaGd[MoO4]3,573.0,0.00257
RbBaGd[MoO4]3,873.0,0.00538
RbBaNd[MoO4]3,573.0,0.00962
RbBaNd[MoO4]3,873.0,0.00846
RbBaEu[MoO4]3,573.0,0.00339
RbBaEu[MoO4]3,873.0,0.0042699999999999
BaGdFe0.4Co1.6O5,870.0,158.0
BaCu0.4GdCo1.6O5,870.0,331.0
Na0.9Fe1.1Co0.9[MoO4]3,298.0,9.840000000000001e-08
Na0.9Fe1.1Co0.9[MoO4]3,873.0,0.0285
Fe0.89Ru0.67[CN]4[H2O]4,298.0,5.05e-06
K0.27Ru1.02[CN]4[H2O]3.56,298.0,0.00569
Tl0.06Bi1.94Se3,298.0,2370.0
TiNb0.77W0.19[PO4]3,1073.0,0.0003799999999999
Ba1.03Ce0.8Ho0.2O3,1273.0,0.0392
Ba1.03Ce0.8Ho0.2O3,1273.0,0.0346
Ba0.18Sr0.11Co4Sb12.09,298.0,4010.0
Sr0.28Co4Sb12.88,298.0,2400.0
Sr0.28Co4Sb12.88,298.0,2717.0
Sr0.28Co4Sb12.88,850.0,1200.0
BaTa0.5Bi0.5O3,298.0,1e-11
La2Mo1.97Sb0.03O9,588.0,1.5399999999999998e-05
La2Mo1.97Sb0.03O9,769.0,0.0031
Tl2SnTe3 ht,298.0,22.0
Tl2SnTe3 ht,515.0,15.0
Sr3Ti1.9Ga0.1O6.95,973.0,0.00049
Sr3Ti1.9Ga0.1O6.95,1173.0,0.011
Sr3Ti1.9Ga0.1O6.95,1173.0,0.019
Sr3Ti1.8Co0.2O6.9,973.0,0.01
Sr3Ti1.8Co0.2O6.9,1173.0,0.0559999999999999
Sr3Ti1.8Co0.2O6.9,1173.0,0.012
Sr3Ti1.9Cr0.1O7,973.0,0.000457
Sr3Ti1.9Cr0.1O7,1173.0,0.0055
Sr3Ti1.9Cr0.1O7,1173.0,0.03
Sr3Ti1.94Ni0.06O6.97,973.0,0.00117
Sr3Ti1.94Ni0.06O6.97,1173.0,0.018
Sr3Ti1.94Ni0.06O6.97,1173.0,0.021
Sr3Ti1.94In0.06O6.97,973.0,0.000562
Sr3Ti1.94In0.06O6.97,1173.0,0.0139999999999999
Sr3Ti1.94In0.06O6.97,1173.0,0.026
Sr3Sc0.06Ti1.94O6.97,973.0,0.000616
Sr3Sc0.06Ti1.94O6.97,1173.0,0.016
Sr3Sc0.06Ti1.94O6.97,1173.0,0.021
Ba0.8Sr0.2Zr0.25Ti0.75O3 lt,275.0,1.42e-10
K0.115Sm0.115Nb2Pb0.77O6 rt,298.0,3.845e-08
K0.115Sm0.115Nb2Pb0.77O6 rt,298.0,6e-10
K0.115Sm0.115Nb2Pb0.77O6 rt,298.0,1.1e-07
Sr0.3Nb0.15Fe0.85Bi0.7O3,323.0,5e-08
Sr0.3Nb0.15Fe0.85Bi0.7O3,323.0,1.3000000000000002e-10
Sr0.3Nb0.15Fe0.85Bi0.7O3,637.0,1.8e-08
Sr4Ga7.5In0.5Ge15,300.0,1020.0
BaY0.1Ce0.7Pr0.1Zr0.1O2.9 rt,973.0,0.0022
BaY0.1Ce0.7Pr0.1Zr0.1O2.9 rt,973.0,0.0011
BaY0.1Ce0.7Pr0.1Zr0.1O2.9 rt,973.0,0.001
BaY0.2Ce0.7Pr0.1O2.9 rt,973.0,0.0121
BaY0.2Ce0.7Pr0.1O2.9 rt,973.0,0.0055
BaY0.2Ce0.7Pr0.1O2.9 rt,973.0,0.0046999999999999
BaY0.1Ce0.6Pr0.1Zr0.1Bi0.1O2.9 rt,973.0,0.0005
BaY0.1Ce0.6Pr0.1Zr0.1Bi0.1O2.9 rt,973.0,0.0001
In0.067Ge0.8Sb0.067Te ht2,635.0,500.0
Li0.82PtC4S4[CN]4[H2O]2 rt,298.0,30.0
Pb0.5Sn0.5Te lt,298.0,5000.0
Cu2Te0.9S0.1,298.0,3000.0
In1.98Sn0.02Te3 ht,298.0,1e-08
In1.98Sn0.02Te3 ht,1000.0,0.01
CuZnxAlS2,83.0,1.7
CuZnxAlS2,250.0,2.8
CuZnxAlS2,310.0,3.7
CuZnxAlS2,670.0,1.3
CuZnxAlS2,1000.0,2.2
Li0.5La0.5[CrO4] tet,500.0,2e-08
Na0.5La0.5[CrO4],600.0,0.002
Na0.5La0.5[CrO4],298.0,3.9999999999999994e-09
Na0.25Li0.25La0.5[CrO4],298.0,6.000000000000002e-08
La2CoO4.22,400.0,2.48e-09
Li3Sc1.8In0.2[PO4]3,743.0,0.0178
Li3Sc1.8Cr0.2[PO4]3,743.0,0.0858
Li3Sc2[MoO4]0.2[PO4]2.8,743.0,0.053
Li3Y0.3Sc1.7[PO4]3 ht,743.0,0.0794
Li3Y0.3Sc1.7[PO4]3 ht,743.0,0.0562
Li3.1Fe2[SiO4]0.1[PO4]2.9,593.0,0.015
Li3.1Fe2[SiO4]0.1[PO4]2.9,593.0,3.8
Li3.1Fe2[SiO4]0.1[PO4]2.9,593.0,1.0
Li3MgSc[MoO4][PO4]2,723.0,0.0199
Li3Zn0.2Sc1.8[MoO4]0.2[PO4]2.8,743.0,0.032
Ba0.25Bi0.75O1.375,673.0,0.002
Na2.4Ag0.6YCl6,500.0,8e-06
Sr0.5Ag0.5Sm0.5Cl3,473.0,0.56
Sr0.5Ag0.5Sm0.5Cl3,623.0,0.00105
K0.396Bi0.614O0.003F2.178,298.0,7.999999999999999e-09
K0.396Bi0.614O0.003F2.178,667.0,7.000000000000001e-05
B12P0.05C2.95,300.0,0.13
B12P0.05C2.95,667.0,4.8
SrTiVxAlxO3,480.0,1e-11
SrTiVxAlxO3,833.0,1e-05
SrTiAlxO3,790.0,0.001
SrTiAlxO3,333.0,9e-10
Mn0.2Ga0.8As orth,100.0,0.2
Mn0.2Ga0.8As orth,50.0,1e-05
Mn0.2Ga0.8As orth,4.2,0.045
Zn0.99Ga0.01SiP2,298.0,0.25
Mg0.04Zr0.96O1.96,723.0,5e-07
Cu28.8Cd1.12S16 rt,330.0,450.0
Cu28.8Cd1.12S16 rt,120.0,44.0
Cu1.8Cd0.1S rt,330.0,12.0
Cu1.8Cd0.1S rt,125.0,1.3
Cu1.8Cd0.05S,330.0,1150.0
Cu1.8Cd0.05S,120.0,260.0
Cu1.8In0.04S,330.0,811.0
Ca5Ga6O14 mon,599.0,2.7e-11
Ca5Ga6O14 mon,1110.0,2e-06
Ca5Ga6O14 mon,599.0,2.7e-11
Ca5Ga6O14 mon,1110.0,2.7e-07
Sr0.82U0.18F2.36,400.0,6.9e-05
Sr0.82U0.18F2.36,298.0,1.2e-06
Sr0.82Th0.18F2.36,400.0,5.4000000000000005e-05
Sr0.82Th0.18F2.36,298.0,1.1e-07
SrZr0.5Fe0.5O2.97,1224.0,0.00029
SrZr0.5Fe0.5O2.97,828.0,4.2e-05
SrZr0.5Fe0.5O2.97,1224.0,0.00023
SrZr0.5Fe0.5O2.97,828.0,2.8e-05
Ho2[MoO4]3 rt mon,423.0,0.001
Sr0.05Pr0.95GaO3,523.0,1.0000000000000001e-07
Sr0.05Pr0.95GaO3,1110.0,2.0
Ca0.1Pr0.9GaO3,523.0,2e-06
Ca0.1Pr0.9GaO3,1110.0,0.8
Ca0.07Mg0.15Pr0.93Ga0.85O3,573.0,2e-05
Ca0.07Mg0.15Pr0.93Ga0.85O3,1110.0,0.5
Sr0.07Mg0.15Pr0.93Ga0.85O3,573.0,4e-05
Sr0.07Mg0.15Pr0.93Ga0.85O3,1110.0,10.0
Mg0.1PrGa0.9O3,625.0,0.02
Mg0.1PrGa0.9O3,1110.0,10.0
Mg0.1PrGa0.9O3,1273.0,0.05
MoRe0.01S2,20.0,0.008
MoRe0.01S2,298.0,4.0
MoRe0.01S2,21.0,0.002
MoRe0.01S2,298.0,0.04
LaCo0.9Ni0.1O3,2.9,117.9
LaCo0.9Ni0.1O3,2.1,115.7
W0.004Re0.996Se2,298.0,0.4
W0.004Re0.996Se2,133.0,0.00013
W0.004Re0.996Se2,298.0,0.14
W0.004Re0.996Se2,130.0,3e-05
Mo0.005Re0.995Se2,298.0,3.0
Mo0.005Re0.995Se2,133.0,0.3
Mo0.005Re0.995Se2,298.0,2.0
Mo0.005Re0.995Se2,130.0,0.1
Cu0.5YMn0.5O3,304.0,0.012
Cu0.5YMn0.5O3,970.0,9000000.0
BaInO2.5 rt,909.0,5.62e-05
BaPb0.9Sb0.1O3 tet,1073.0,19.0
BaPb0.9Sb0.1O3 tet,373.0,26.0
La0.89W0.89O4 ht,1376.0,0.2
Ca3.91Ce0.09Mn3O10,1000.0,25.6
Ca3.91Ce0.09Mn3O10,327.0,24.9
La9.83FeAl0.5Si4.5O26,1273.0,0.017
La9.83FeAl0.5Si4.5O26,763.0,7.8e-06
La9.83FeAl0.5Si4.5O26,1223.0,0.0001099999999999
La9.83FeAl0.5Si4.5O26,973.0,1e-05
Ti0.0065W0.9935O2,800.0,0.009
Ti0.0065W0.9935O2,570.0,0.001
Mg0.04CuSc0.96O2.23,298.0,0.53
Ca0.05La1.95Zr2O6.9,1073.0,0.012
Ca0.05La1.95Zr2O6.9,673.0,1e-06
Ca0.05La1.95Zr2O6.9,1073.0,0.07
Ca0.05La1.95Zr2O6.9,673.0,3.9e-07
Ca0.05La1.95Zr2O6.9,1023.0,0.0018
Ca0.05La1.95Zr2O6.9,1023.0,0.0001899999999999
Ca0.05La1.95Zr2O6.9,1023.0,0.0074
Ca0.05La1.95Zr2O6.9,1123.0,0.0054
Ca0.05La1.95Zr2O6.9,1123.0,0.00055
Ca0.05La1.95Zr2O6.9,1123.0,0.013
Ba0.6Ti0.9625Fe0.0125Pb0.4Sb0.025O3 ht,298.0,1e-10
Dy0.1Ti0.536Pb0.9Sn0.439O3 ht,670.0,5.3e-05
Dy0.1Ti0.536Pb0.9Sn0.439O3 ht,670.0,7.1e-05
Dy0.1Ti0.536Pb0.9Sn0.439O3 ht,605.0,1.86e-05
Dy0.1Ti0.536Pb0.9Sn0.439O3 ht,605.0,6.24e-06
Zn0.04Zr0.53Ti0.47Pb0.96O3 ht,621.0,1.4e-05
Zn0.04Zr0.53Ti0.47Pb0.96O3 ht,697.0,8.5e-05
Mn0.5Ru0.5Co2O4 rt,300.0,0.0004
Mn0.5Ru0.5Co2O4 rt,130.0,0.0001
Mn0.5Ru0.5Co2O4 rt,300.0,0.00028
Mn0.5Ru0.5Co2O4 rt,130.0,1.8e-08
Mn0.5Ru0.5Co2O4 rt,298.0,0.5
Cu4Cd0.25YbIn0.75,300.0,2800.0
Sr0.5La0.5Fe0.8Al0.2O2.97,667.0,130.0
Sr0.5La0.5Fe0.8Al0.2O2.97,1290.0,39.0
Sr0.9Ca0.1Fe0.11Co0.89O2.9 ht,1028.0,200.0
Sr0.9Ca0.1Fe0.11Co0.89O2.9 ht,1223.0,134.0
Gd2Zr1.8Sn0.2O7,1073.0,0.0026
Gd2Zr1.8Sn0.2O7,568.0,2.400000000000001e-07
Gd2Zr1.8Sn0.2O7,1073.0,0.0039
Gd2Zr1.8Sn0.2O7,568.0,4.8e-06
SrLa0.35Nb2Bi1.65O9 rt,500.0,9.700000000000001e-09
SrLa0.35Nb2Bi1.65O9 rt,298.0,9.700000000000001e-09
Ti3Mn3Bi7O21 rt,308.0,1.8e-06
Ti3Mn3Bi7O21 rt,475.0,0.00068
Ti3Mn2Bi6O18 rt,323.0,4e-06
Ti3Mn2Bi6O18 rt,500.0,2.3e-05
Ti3Mn5Bi9O27 rt,493.0,4e-05
Ti3Mn5Bi9O27 rt,302.0,6.3e-07
Sr2CoBi2O6.5 tet,298.0,0.0009
Sr2CoBi2O6.5 tet,298.0,9e-09
Sr2CoBi2O6.5 tet,298.0,0.001
Sr2CoBi2O6.5 tet,298.0,0.0009
Cu0.1Zn0.9LaPO,298.0,5.2
Cu0.1Zn0.9LaPO,50.0,4.6
Zn0.9LaZr0.1PO,298.0,0.28
Zn0.9LaZr0.1PO,50.0,0.12
K0.05La1.95Mo1.95Mn0.05O8.9 rt rt,700.0,4.7e-05
K0.05La1.95Mo1.95Mn0.05O8.9 rt rt,714.0,9.2e-05
K0.05La1.95Mo1.95Fe0.05O8.875 rt rt,690.0,4.1e-05
K0.05La1.95Mo1.95Fe0.05O8.875 rt rt,714.0,8.9e-05
Sr2.7Ca0.3Ti1.8Nb0.2O7,400.0,110.0
Sr2.7Ca0.3Ti1.8Nb0.2O7,1000.0,60.0
CdErxS,298.0,0.018
CdErxS,100.0,0.00065
Ba4Ca2Ta2O11[H2O]0.72,473.0,1.2e-08
Ba4Ca2Ta2O11[H2O]0.72,1073.0,0.0005
Ca1.8Nd0.2Co2.67O6.27,350.0,70.0
Ca1.8Nd0.2Co2.67O6.27,1073.0,103.2
Na0.07Ca1.73Nd0.2Co2.67O6.24,350.0,76.7
Na0.07Ca1.73Nd0.2Co2.67O6.24,1073.0,109.7
Na0.07Ca1.93Co2.67O6.27,350.0,110.6
Na0.07Ca1.93Co2.67O6.27,1075.0,124.0
Ba2Ca2CuTl0.5Zn2.5O9.9,79.0,63.0
Ba2Ca2CuTl0.5Zn2.5O9.9,290.0,4.0
Ba2Ca2CuTl0.5Zn2.5O9.9,290.0,29.0
Ba2Ca2CuTl0.5Zn2.5O9.9,79.0,3.0
Ba2CaMgCuTl0.5Zn2.5O9.9,79.0,79.0
Ba2CaMgCuTl0.5Zn2.5O9.9,290.0,5.0
Ba2CaMgCuTl0.5Zn2.5O9.9,290.0,48.0
Ba2CaMgCuTl0.5Zn2.5O9.9,79.0,6.0
DyBiO3,298.0,5.09e-07
Ti0.3Cr0.6Fe0.8Co1.3O4,352.71,7e-09
Ti0.3Cr0.6Fe0.8Co1.3O4,352.71,7e-08
Ti0.3Cr0.6Fe0.8Co1.3O4,651.95,1.2e-05
Ti0.3Cr0.6Fe0.8Co1.3O4,651.95,1e-05
Ce0.15V1.85Bi4O10.92 mon,593.0,5.7e-06
Ce0.15V1.85Bi4O10.92 mon,699.0,0.0001099999999999
Ce0.15V1.85Bi4O10.92 orth,806.0,0.013
Ce0.15V1.85Bi4O10.92 orth,699.0,0.0001099999999999
BaY0.5Nb0.5O3,298.0,4e-13
BaY0.5Nb0.5O3,298.0,5e-07
BaY0.5Nb0.5O3,723.0,4e-06
BaY0.5Nb0.5O3,723.0,8e-06
Co2.8Rh1.2Sb12,298.0,110.0
Ba0.25Zn0.33Nb0.67Pb0.75O3,143.0,1.6e-05
Ba0.25Zn0.33Nb0.67Pb0.75O3,143.0,3.4e-09
Ba0.25Zn0.33Nb0.67Pb0.75O3,120.0,4.7e-06
Ba0.25Zn0.33Nb0.67Pb0.75O3,120.0,2.3e-09
Ba0.25Zn0.33Nb0.67Pb0.75O3,140.0,2.1e-08
Ba0.25Zn0.33Nb0.67Pb0.75O3,205.0,4e-08
BaPr0.5Ta0.5O3,323.0,1.9999999999999997e-09
BaPr0.5Ta0.5O3,323.0,3e-06
BaPr0.5Ta0.5O3,723.0,2.0000000000000002e-07
BaPr0.5Ta0.5O3,723.0,2.2e-06
BaSm0.5Nb0.5O3,463.0,2.6e-05
BaSm0.5Nb0.5O3,323.0,7.299999999999999e-06
BaSm0.5Nb0.5O3,323.0,3.2e-09
La0.05FeBi0.95O3 tricl,648.0,0.0069999999999999
La0.05FeBi0.95O3 tricl,298.0,3e-05
La0.05FeBi0.95O3 tricl,298.0,2.72e-08
La0.05FeBi0.95O3 tricl,473.0,3.92e-08
La0.05FeBi0.95O3 tricl,498.0,4.6e-08
La0.05FeBi0.95O3 tricl,423.0,1.7029999999999998e-14
Ce0.8Pr0.15Gd0.05Co0.02O1.93,1073.0,0.0023
Ce0.8Pr0.15Gd0.05Co0.02O1.93,1073.0,0.061
Ce0.8Pr0.15Gd0.05Co0.02O1.93,973.0,0.0014
Ce0.8Pr0.15Gd0.05Co0.02O1.93,973.0,0.0039
Sr0.5Ca0.5Ti4Bi4O15,898.0,0.0002
Sr0.5Ca0.5Ti4Bi4O15,898.0,0.00013
Sr0.5Ca0.5Ti4Bi4O15,298.0,2e-06
Sr0.5Ca0.5Ti4Bi4O15,298.0,8.000000000000001e-11
Sr0.5Ca0.5Ti4Bi4O15,833.0,8.999999999999999e-05
Sr0.5Ca0.5Ti4Bi4O15,655.0,3e-07
Sr0.5Ca0.5Ti4Bi4O15,898.0,0.0002
Sr0.5Ca0.5Ti4Bi4O15,898.0,0.00013
Sr0.5Ca0.5Ti4Bi4O15,1050.0,0.0007
Sr0.5Ca0.5Ti4Bi4O15,1050.0,0.0007
Sr0.5Ca0.5Ti4Bi4O15,898.0,0.00012
Sr0.5Ca0.5Ti4Bi4O15,1050.0,0.0007
AgCd0.74Mn1.26GaSe4,293.0,2e-11
LiZr2[PO4]3 ht1,1073.0,0.146
LiZr0.6Ti1.4[PO4]3,448.0,0.0007
LiZr0.6Ti1.4[PO4]3,448.0,9.000000000000001e-07
LiZr0.6Ti1.4[PO4]3,298.0,4e-05
LiZr0.6Ti1.4[PO4]3,298.0,2e-08
LiZr0.6Ti1.4[PO4]3,425.0,5.270000000000001e-05
Ag0.1V1.9Bi4O10.8,503.0,1.8e-05
Ag0.1V1.9Bi4O10.8,773.0,0.081
Li0.1V0.9Bi2O5.3 ht,473.0,2.1e-05
Li0.1V0.9Bi2O5.3 ht,573.0,0.00029
Li0.1V1.9Bi4O10.8 rt,476.0,6.6e-06
Li0.1V1.9Bi4O10.8 rt,773.0,0.11
Ag0.1V0.9Bi2O5.3,463.0,4.6e-05
Ag0.1V0.9Bi2O5.3,573.0,0.0004
Sr0.1Y1.9Ti2O6.95,1173.0,2.9e-06
Sr0.1Y1.9Ti2O6.95,753.0,3e-07
CaEu0.2Fe1.8Sb2[PO4]6,673.0,0.00586
CaEu0.2Fe1.8Sb2[PO4]6,298.0,9.999999999999999e-10
Fe2.9Al0.1O4 lt,98.0,2.1e-05
Fe2.9Al0.1O4 lt,85.0,3.6000000000000003e-06
W0.8MnRe0.2Pb2O6 rt,445.0,5e-06
W0.8MnRe0.2Pb2O6 rt,318.0,1e-08
W0.8MnRe0.2Pb2O6 ht,445.0,5e-06
W0.8MnRe0.2Pb2O6 ht,526.0,6e-05
W0.5MnRe0.5Pb2O6 m,330.0,3e-05
RbAg[SO4] ht2,800.0,0.0139999999999999
Nb0.25Cr0.75WO4,298.0,1.1
Nb0.25Cr0.75WO4,25.0,8e-06
K0.3Na0.7I0.7Br0.3,800.0,0.00048
K0.3Na0.7I0.7Br0.3,588.0,9.5e-07
Ba0.99La0.01Ti0.99Co0.01O3,303.0,5e-08
Ba0.99La0.01Ti0.99Co0.01O3,303.0,2e-06
Ba0.99La0.01Ti0.99Co0.01O3,523.0,1.4999999999999998e-06
Na0.85Nb0.85Mn0.15Bi0.15O3 ht2,698.0,2.8e-06
Na0.85Nb0.85Mn0.15Bi0.15O3 ht1,448.0,1.4e-08
Co4In0.16Ge0.05Sb11.95,673.0,244.0
Co4In0.16Ge0.05Sb11.95,300.0,370.0
Co0.95Ni0.05Sb2.9Te0.05Se0.05,800.0,65000.0
Co0.95Ni0.05Sb2.9Te0.05Se0.05,298.0,68300.0
CoSb2.9Te0.05Se0.05,800.0,32900.0
CoSb2.9Te0.05Se0.05,298.0,31200.0
Cu0.99In0.01O,300.0,0.46
Cu0.99In0.01O,400.0,1.98
Ba4Ga8Ge15 cub1,298.0,1210.0
Ba4Ga8Ge15 cub1,298.0,800.0
Ba4Ga8Ge15 cub1,900.0,230.0
Ba4Ga8Ge15 cub1,300.0,367.0
Ba4Ga8Ge15 cub1,300.0,902.0
MgTa1.5Bi1.5O7,770.0,3e-07
BaCa0.9Y0.1Co4O7,1173.0,119.0
BaCa0.9Y0.1Co4O7,1173.0,22.5
BaCa0.9Y0.1Co4O7,575.0,63.0
BaCa0.9Y0.1Co4O7,575.0,16.5
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,298.0,3.4e-16
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,578.0,4.5e-08
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,476.0,1.3000000000000002e-10
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,533.0,5.5e-08
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,475.0,8.9e-11
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,398.0,2.5e-14
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,302.0,2.2e-14
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,425.0,4.6e-14
Li0.99[NH4]0.99Cu0.01[SO4]0.99 ht2,303.0,8.1e-15
Li0.99[NH4]0.99Co0.01[SO4]0.99 rt,298.0,5.1e-16
Na0.31Al1.81O2.88,423.0,0.1
K0.31Al1.81O2.88,423.0,0.00316
