formula,Tc
Ta0.5Nb0.5,9.226
Ta0.5Nb0.5,9.08
ZrN,9.4
ZrN,9.2
ZrN,7.4
ZrN,10.0
ZrN,8.5
ZrN,9.8
ZrN,10.7
ZrN,8.3
ZrN,10.0
ZrN,9.666
ZrN,12.97
ZrN,20.467
Os rt,0.66
Os rt,0.64
Os rt,7.6
Os rt,0.54
ZrOs2,3.0
ZrOs2,2.9
Zr0.8Pd0.2 ht,4.8
Zr0.8Pd0.2 ht,4.7
Zr0.8Pd0.2 ht,5.0
Zr0.8Pd0.2 ht,4.7
PtSn rt,0.37
PtSn4,2.38
Ti3Pt,0.48
Ti3Pt,0.58
W0.5Pt0.5,1.35
W0.5Pt0.5,3.02
W0.5Pt0.5,1.45
YRu2,1.52
YRu2,2.75
YbSb2,1.25
YbSb2,1.3
YbSb2,1.42
YbSb2,1.32
YbSb2,1.3
SrSi2 hp-ht,3.1
SrSn4,4.8
Zr0.18Ta0.82,7.7
Zr0.18Ta0.82,7.35
Zr0.18Ta0.82,7.4
Zr0.18Ta0.82,7.3
Zr0.18Ta0.82,7.2
Zr0.18Ta0.82,7.14
Zr0.18Ta0.82,7.1
ZnY lt,0.33
Zn2Zr,12.0
Zn2Zr,6.8
Zn2Zr,1.1
CuS rt,1.62
CuS rt,1.651
Al0.85Ge0.15 m,3.25
La3Al rt,5.27
LaAl2,3.23
LaAl2,3.3
LaAl2,3.273
LaAl2,3.27
LaAl2,3.28
LaAl2,3.22
LaAl2,3.305
LaAl2,3.237
LaAl2,3.08
LaAl2,3.3
LaAl3 rt,5.57
La3Al ht,8.35
La3Al ht,6.16
La3Al ht,5.97
La3Al ht,5.8
Zr3Al rt,1.4
Zr3Al rt,1.55
Zr3Al rt,2.8
Zr3Al rt,4.36
Zr3Al rt,7.99
Zr3Al rt,0.73
LiBi rt,2.47
LiBi rt,2.455
LiBi rt,2.47
Bi0.9978Te0.0022,0.625
Bi2Te3 rt,3.0
Bi2Te3 rt,2.8
Bi2Te3 rt,2.63
Bi2Te3 rt,3.0
Bi2Te3 rt,3.2
Bi2Te3 rt,3.0
Fe3C m,1.3
Y3Co rt,0.34
Y6Co4.5 rt,2.7
Y6Co4.5 rt,2.0
Y6Co4.5 rt,2.0
Y6Co4.5 rt,2.2
Y6Co4.5 rt,2.5
CrN rt,12.4
VC,0.9
W2C trig,3.0
W2C trig,2.5
W2C trig,3.2
W2C orth,3.5
W2C orth,3.2
WC,1.0
WC0.82 ht,10.0
WC0.82 ht,5.2
PtGa,1.74
PtGa2 ht,2.9
HfOs2,2.69
HfOs2,1.85
In0.20Sn0.80,4.4
In0.20Sn0.80,4.55
In0.20Sn0.80,4.5
In0.20Sn0.80,4.53
In0.20Sn0.80,4.78
In0.20Sn0.80,4.61
In0.05Sn0.95 rt,3.78
In0.05Sn0.95 rt,3.85
In0.05Sn0.95 rt,3.65
In3Te4 rhom,1.25
Zr2Ir rt,7.5
ZrIr2,4.1
La3Pt4,0.51
La3Pt4,0.5
La3Pt4,0.47
LaPt2,0.46
Nb3Sb,0.2
Nb3Sb,0.2
Ta2Ni,0.9
Pd,0.0
Pd,1.14
Pd,0.0
Pd16S7,1.63
PdSi ht,0.93
Pd0.75Te0.25 ht,0.76
PdTe,2.3
PdTe,3.85
PdTe,1.88
PdTe,4.5
PdTe,4.5
PdTe,4.5
PdTe,4.5
Zr2Rh,11.1
Zr2Rh,11.2
Zr2Rh,11.2
Zr2Rh,10.8
Zr2Rh,11.3
Zr2Rh,11.3
Zr2Rh,11.3
Zr2Rh,11.2
Zr2Rh,10.8
Zr2Rh,11.3
Zr0.915Rh0.085 ht,4.8
Zr0.915Rh0.085 ht,6.5
Zr0.915Rh0.085 ht,6.3
ZrRh ht1,2.4
Zr3Si,0.5
Mo3Al,0.58
Nb0.95Al0.05,7.6
Nb0.95Al0.05,5.4
Nb2Al,12.0
Nb3.04Al0.96,14.19
Nb3.04Al0.96,16.84
Nb3.04Al0.96,10.5
Nb3.04Al0.96,14.9
Nb3.04Al0.96,16.4
Nb3.04Al0.96,17.7
Nb3.04Al0.96,14.0
Nb3.04Al0.96,11.7
Nb3.04Al0.96,16.4
Nb3.04Al0.96,15.1
Nb3.04Al0.96,18.6
Nb3.04Al0.96,14.0
Nb3.04Al0.96,25.1
Nb3.04Al0.96,14.5
Nb3.04Al0.96,18.0
Nb3.04Al0.96,18.6
Nb3.04Al0.96,17.6
Nb3.04Al0.96,18.7
Nb3.04Al0.96,15.5
Nb3.04Al0.96,15.6
Nb3.04Al0.96,15.7
Nb3.04Al0.96,19.0
Nb3.04Al0.96,19.4
Nb3.04Al0.96,18.6
Nb3.04Al0.96,17.5
Nb3.04Al0.96,18.8
Nb3.04Al0.96,20.0
Nb3.04Al0.96,17.4
Nb3.04Al0.96,18.25
Nb3.04Al0.96,19.1
Nb3.04Al0.96,7.5
Nb3.04Al0.96,18.0
Nb3.04Al0.96,16.2
Nb3.04Al0.96,16.65
NbAl3,0.64
Au0.970Sn0.030,0.047
Au0.970Sn0.030,0.018
Au0.85Sn0.15 ht,1.1
AuSn,1.25
Au0.25V0.75 ht,0.45
Au0.25V0.75 ht,0.3
AuZn3 rt,1.21
HfB,3.1
Pb0.75Bi0.25,7.6
Pb0.75Bi0.25,7.97
Pb0.75Bi0.25,7.65
Pb0.75Bi0.25,7.95
Pb0.75Bi0.25,8.45
Pb0.5Bi0.5 rt,8.95
RhBi,2.06
RhBi4 rt,2.7
RhBi4 rt,2.82
LaB6,5.7
LaB6,2.0
MoB rt,0.5
NbB,8.25
NbB2,9.4
NbB2,9.2
NbB2,9.5
NbB2,8.1
NbB2,11.0
NbB2,0.62
NbB2,0.7
NbB2,9.75
NbB2,3.5
NbB2,9.1
NbB2,9.1
NbB2,9.9
Ta2B ht,3.12
TaB,4.0
W2B,3.22
W2B,3.1
WB ht,2.8
WB rt,4.3
WB2 ht,5.4
ZrB12,5.82
ZrB12,6.0
ZrB12,5.7
CeIn3,0.23
CeIn3,0.19
CeIn3,0.204
HfC,0.05
HfC,0.04
HfC,0.0
NbC0.5 ht2,9.1
NbC,9.1
NbC,9.5
NbC,11.1
NbC,11.5
NbC,10.5
NbC,9.8
NbC,11.5
NbC,11.1
NbC,9.5
NbC,10.0
NbC,3.7
NbC,11.5
NbC,11.1
NbC,10.0
NbC,10.8
NbC,6.5
NbC,11.0
NbC,6.0
Ti2Co,3.44
TiCo,0.71
TiCo,0.035
Cs0.5K0.5,0.057
Cs0.5K0.5,0.33
Cs0.5K0.5,0.43
Cs0.5K0.5,0.49
Cs0.5K0.5,0.21
Cs,0.0006
Cs,0.2527
Cs,0.3032
Cs,0.4099
Cs,0.0806
Cs,0.0
Cs0.5Rb0.5,0.00309
Cs0.5Rb0.5,0.14
Cs0.5Rb0.5,0.19
Cs0.5Rb0.5,0.22
Cs0.5Rb0.5,0.081
W2C ht1,2.74
FeSe rt,8.0
FeSe rt,8.0
FeSe rt,11.8
FeSe rt,11.0
FeSe rt,8.0
FeSe rt,11.1
FeSe rt,37.0
FeSe rt,37.0
FeSe rt,8.0
FeSe rt,11.0
FeSe rt,7.0
FeSe rt,10.1
FeSe rt,8.69
FeSe rt,4.5
FeSe rt,10.2
FeSe rt,9.2
FeSe rt,6.9
FeSe rt,14.0
FeSe rt,8.0
FeSe rt,8.5
FeSe rt,16.0
FeSe rt,7.0
FeSe rt,13.6
FeSe rt,26.8
FeSe rt,8.0
FeSe rt,8.11
FeSe rt,11.0
FeSe rt,8.0
FeSe rt,10.5
FeSe rt,7.9
FeSe rt,8.5
FeSe rt,24.0
FeSe rt,10.0
FeSe rt,12.0
FeSe rt,11.38
FeSe rt,12.35
FeSe rt,8.0
FeSe rt,7.0
FeSe rt,65.0
FeSe rt,8.0
FeSe rt,9.0
GaN rt,5.85
V0.9Ga0.1 m,5.3
V0.9Ga0.1 m,2.9
V0.9Ga0.1 m,2.5
V0.9Ga0.1 m,1.6
V0.9Ga0.1 m,1.2
V2Ga5,3.55
V2Ga5,4.2
V2Ga5,3.55
V2Ga5,1.9
V3Ga rt,13.5
V3Ga rt,15.9
V3Ga rt,14.9
V3Ga rt,13.8
V3Ga rt,15.3
V3Ga rt,14.5
V3Ga rt,9.94
V3Ga rt,12.36
V3Ga rt,13.86
V3Ga rt,12.09
V3Ga rt,23.0
V3Ga rt,16.8
V3Ga rt,9.15
V3Ga rt,15.2
V3Ga rt,15.0
V3Ga rt,14.8
V3Ga rt,12.5
V3Ga rt,12.7
V3Ga rt,14.1
V3Ga rt,14.5
V3Ga rt,10.0
V3Ga rt,15.4
V3Ga rt,14.1
V3Ga rt,13.8
V3Ga rt,13.5
V3Ga rt,15.3
V3Ga rt,14.9
V3Ga rt,15.1
V3Ga rt,14.7
V3Ga rt,15.9
V3Ga rt,30.0
V3Ga rt,14.6
V3Ga rt,14.2
V3Ga rt,4.32
V3Ga rt,8.52
Nb3Ge,21.8
Nb3Ge,4.8
Nb3Ge,20.5
Nb3Ge,19.0
Nb3Ge,4.15
Nb3Ge,3.6
Nb3Ge,23.0
Nb3Ge,3.5
Nb3Ge,6.55
Nb3Ge,21.21
Nb3Ge,6.05
Nb3Ge,20.6
Nb3Ge,19.2
Nb3Ge,8.2
Nb3Ge,22.0
Nb3Ge,11.0
Nb3Ge,3.5
Nb3Ge,14.6
Nb3Ge,16.2
Nb3Ge,19.2
Nb3Ge,6.0
Nb3Ge,23.2
Nb3Ge,17.0
Nb3Ge,6.0
Nb3Ge,16.0
Nb3Ge,22.5
Nb3Ge,18.7
Nb3Ge,12.4
Nb3Ge,7.8
Nb3Ge,20.83
Nb3Ge,20.46
Nb3Ge,19.09
Nb3Ge,6.5
Nb3Ge,4.9
Nb3Ge,21.7
Nb3Ge,21.0
Nb3Ge,11.3
Nb3Ge,16.0
Nb3Ge,15.2
Nb3Ge,13.1
Nb3Ge,14.1
Nb3Ge,21.8
Nb3Ge,7.1
Nb3Ge,22.0
Nb3Ge,12.0
Nb3Ge,6.5
Nb3Ge,14.6
Nb3Ge,20.0
Nb3Ge,22.5
NbGe2,6.0
NbGe2,2.23
NbGe2,2.09
Hf0.6Mo0.4 ht,2.6
Hf0.6Mo0.4 ht,2.92
Hf0.6Mo0.4 ht,2.71
Hf0.6Mo0.4 ht,2.37
Hf0.6Mo0.4 ht,2.5
Hf0.6Mo0.4 ht,2.9
Hf0.6Mo0.4 ht,2.6
HfMo2 rt,0.07
HfMo2 ht2,0.05
Hf2Ni,0.87
Hf0.5Ta0.5,6.62
NbH0.1 ht,7.38
NbH0.1 ht,7.83
TaH0.2 lt,3.26
TaH0.2 lt,3.62
TaH0.2 lt,2.81
Rb hp4 cub,0.0298
Rb hp4 cub,0.6063
Rb hp4 cub,0.8276
Rb hp4 cub,0.9372
Rb hp4 cub,0.3954
Rb hp4 cub,0.0
Rb hp4 cub,0.0
Th rt,1.38
MoN ht2,15.1
MoN ht2,13.2
MoN ht2,12.0
MoN ht2,14.8
MoN ht2,12.0
MoN ht2,12.0
MoN ht2,12.1
MoN ht1,29.4
MoN ht1,3.4
MoN ht1,3.84
MoN ht1,5.2
MoN ht1,12.5
MoN ht1,5.0
MoN ht1,6.0
MoN ht1,9.5
MoN ht1,5.2
MoN ht1,22.5
Mo0.5Pd0.5 ht,3.52
Mo0.85Pt0.15,2.8
Mo0.6Re0.4,9.3
Mo0.6Re0.4,11.0
Mo0.6Re0.4,12.0
Mo0.6Re0.4,9.2
Mo0.6Re0.4,3.1
Mo0.6Re0.4,3.87
Mo0.6Re0.4,2.8
Mo0.6Re0.4,2.4
Mo0.2Re0.8 rt,9.25
Mo0.2Re0.8 rt,9.89
Mo0.4Re0.6 ht,7.8
Mo0.4Re0.6 ht,6.35
Mo0.4Re0.6 ht,6.5
Mo0.4Re0.6 ht,6.0
Mo0.4Re0.6 ht,6.26
Mo0.4Re0.6 ht,6.0
Mo0.4Re0.6 ht,5.86
Mo0.4Re0.6 ht,6.01
Mo0.4Re0.6 ht,5.52
Mo0.4Re0.6 ht,5.6
Mo0.4Re0.6 ht,6.0
Mo0.5Rh0.5 ht,1.97
Mo3Si,1.3
Mo3Si,1.7
