formula,Bulk Modulus (GPa)
Y rt,42.6
Cu0.63Zn0.37 rt,172.0
Cu0.63Zn0.37 rt,140.0
Cu0.5Zn0.5 ht,139.0
CuZn rt,163.0
CuZn rt,150.0
Cu5Zn8,123.0
Cu5Zn8,121.0
Dy rt,40.5
Dy rt,36.3
Dy rt,35.0
Dy rt,32.3
Eu,8.3
Eu,45.0
Eu,25.0
Eu,20.0
Eu,19.0
Eu,15.0
Eu,15.0
Eu,14.3
Sn lt,45.2
Sn lt,46.7
Sn lt,51.0
Sn lt,39.6
Sn lt,51.2
Sn lt,43.0
Fe3Ga ht,279.0
Fe0.8Ga0.2,256.0
Mn0.5Fe0.5 ht,123.0
Mn0.5Fe0.5 ht,96.4
Mn0.5Fe0.5 ht,143.0
Mn ht3,321.9
Fe0.5Ni0.5 rt,174.7
Fe0.5Ni0.5 rt,172.2
Fe0.5Ni0.5 rt,170.0
Fe0.5Ni0.5 rt,109.0
Fe0.5Ni0.5 rt,132.0
FeO ht,155.0
FeO ht,85.9
FeO ht,162.7
FeO ht,154.0
FeO ht,159.0
FeO ht,124.0
Fe3O4 rt,155.0
Fe3O4 rt,185.2
Fe3O4 rt,180.6
Fe3O4 rt,180.6
Fe3O4 rt,173.0
Fe2O3 hem,258.0
Fe7S8 3C,35.0
Fe7S8 3C,140.0
FeS tro,73.0
FeS tro,73.0
FeS tro,82.0
S 8-r alpha rt,14.5
Ti rt,129.0
Ti rt,94.12
Ti rt,113.0
Ti rt,86.0
Ti rt,117.0
Ti rt,119.0
Ti rt,94.0
Ti rt,108.0
Ti rt,130.0
Ti rt,105.1
Ti rt,88.2
Ti rt,110.0
Ti rt,110.0
Ti rt,110.0
Ti rt,115.0
U rt,117.0
U rt,104.0
U rt,125.0
Se rt,14.9
Mn rt,13.9
Mn rt,62.0
Mn rt,300.0
Mn rt,200.0
Mn rt,130.0
Mn rt,158.0
Mn rt,43.3
ZnGd,45.0
ZnGd,77.6
Ru2Ge3 ht,199.0
Ir,263.0
Ir,385.0
Ir,345.0
Ir,376.3
Ir,422.0
Ir,306.0
Ir,325.0
Na rt,7.51994
Na rt,151.052
Na rt,7.2
Na rt,5.68
Na rt,8.0
Na rt,76.0
Na rt,11.7
Na rt,8.06
Na rt,8.7
Na rt,9.2
Na rt,7.57
Na rt,7.53
Pu rt,54.4
Pu rt,42.0
Sr ht/hp1,12.6
Sr ht/hp1,16.0
Sr rt,12.0
Sr rt,15.8
Sr rt,30.0
Sr rt,9.21
Sr rt,16.5
Sr rt,14.3
TiH2 rt,128.0
TiH2 rt,97.7
ZrH2 rt,174.0
In0.75Sn0.25 rt,34.8
K rt,3.72285
K rt,67.1356
K rt,34.0
K rt,2.63
K rt,23.0
K rt,35.8
K rt,4.0
K rt,5.4
K rt,3.79
K rt,4.7
K rt,2.963
K rt,3.87
K rt,3.74
K rt,4.21
K2Te,12.9
K2Te2 ht,11.1
K2Te2 ht,11.0
K2Te3,14.3
K5Te3,14.4
Te rt,19.4
Te rt,24.0
Te rt,19.4
La7Ni16 rt,91.0
Li2S rt,46.43
Li2S rt,40.43
Li2S rt,98.0
Li2S rt,52.0
Lu,47.6
Lu,68.0
Lu,63.0
Lu,41.0
Lu,39.5
Lu,49.4
Lu,49.2
Lu,49.3
