formula,target
Ta2H,65.75113428018449
ZrAs2,70.63274622132823
K2MgH4,17.364591417764565
Rb2S,7.0
MnRh,81.17955279741602
PrFeO3,78.0452918805928
MnNi,45.15976390607356
TeO2,17.027860209417838
TaPt2,78.16311258535464
YHg3,18.85695774357512
NdBr3,5.0
Ta2OsW,132.6227903264955
CsCu2I3,4.639531853760404
CaNi5,65.21390381515371
ZrSiSe,60.97683967941306
Ti2Pd3,44.0
CeN,76.22221329128297
PtS2,14.067672086810742
NiPb,37.4209150219104
Rb2Pt3S4,7.479784306450138
Sc3FeC4,120.44935159726136
Ni2B,99.8090282025195
LiCe2Ru,5.0
IrF6,2.6800699398243597
NiCO3,68.3371531086127
Zr6Sb2Pt,59.45669870198935
MoPt2,136.73437499552134
Y2AlSi2,47.62568015754092
ScSiPt,59.783452369970426
Ac2O3,35.0
SrSn3Pd,16.78114089244569
CdSiAs2,30.76685754549033
ScAg4,36.99441480756345
Rb2PdCl6,5.83471504016096
TmGa5Co,48.0
Zr3O,55.38145558989239
Ag2HgI4,5.264692571537676
Tm(CuTe)3,28.98964185170273
HgBr2,2.4555022793617303
Li2ZrF6,35.46553712266795
Sc6FeSb2,45.358551821022786
BaNbO3,89.574012744157
Al3Ni,65.77569518446066
Nb2Co3Si,113.0
CrGaFe2,49.264938234614725
LiRh,47.387032734577616
AlCuO2,79.87330555565346
BiI,2.3706806599753696
RbPdF3,24.077247981519463
LiCuF2,25.113707748520586
FeB,140.87812687738162
CaFeO2,54.74981704124371
RbCoCl3,4.69446976083551
TiV3O8,59.69723389526681
Sb3Ir,59.6701870323388
SrSnPt,28.152866642811237
Mn2AlW,127.49847108299444
TiPRu,103.19971357142953
LiBiPd2,12.475464528086116
Zr2SN2,68.486664003892
SiIr3,119.23799038273371
Li7Si2,28.22433838034236
MoW3(SeS3)2,14.242603354515689
PrNbO3,29.0
Ta2Ni,81.4794561883934
MnGaCo2,79.96827152765223
TaTe5Pt,11.84818621283889
V2FeS4,72.41883347042781
Y(CoGe)2,68.0
KF,16.502932274237562
MnSnAu,20.12933515208569
AlV2C,130.94856747717492
BaZnO2,32.956262198443554
Ca(NiAs)2,39.90607121558801
Y(TiGa2)2,59.45146539671619
BaAg2(HgO2)2,17.182881880972893
Ba(SbPd)2,22.0
Fe2P2O7,35.735391317033944
BeAl2O4,146.11764858140748
Ba2CoO4,20.891733107254904
LiBF4,7.1310062467455415
Si3Mo5,119.74918233176132
Fe4O5F3,59.76468534386054
Ca3AlN3,40.835837728007775
Li(CoO2)2,21.05750026893656
Sr3WN3,30.00588955022428
SmHoIr2,1.11424159078598
PbCl2,8.30317570276484
FeCuPt2,73.40372942146996
Ti2CuSb3,49.64239687494992
SrIn4Ni,27.15856983395597
TiSiOs2,136.19536574961904
RbCeSe2,18.647889239904387
RbCrO2,66.75556016108396
Ti2AlTc,59.67748397926125
BaMgGe,22.6580792555342
RbH,13.0
TiS2,14.053955172792888
Hf2P,76.13664796673713
V3Se4,54.457754403245296
K2H4Pd,8.0
AlAuO2,72.2488642124675
MnO2,37.01068243877936
MoPt3,104.14231035196012
Ga3Ni2,63.12057784312997
UN,79.0
Ti2InN,84.23979408153234
Fe3Sn,59.3695822977689
CuAuO2,21.66727783915599
Ca2MgSi2O7,33.11553632042207
GdFeO3,71.36276682470506
FeCuO2,50.34318874815784
K3BP2,7.2535243686302575
BrF3,3.5503861248191426
Be2V,137.53650700023906
Co2B,104.17198466536588
P2Pb2O7,20.10477192795962
ErAs,54.14983398531803
Nb3Au,61.79291866563766
Al9Co2,73.85708166937226
LiHg3,17.0
LiCd,15.236651676721069
TiZn3,24.071869539174603
AlSiRu2,112.0
Ba(CuS)2,28.671160437755056
LiSnAu,15.690845473496866
Li2GaAu,33.0
BaSi2,18.46212107324188
Sr3B3N5,26.0
YbNiSb,33.02326578932179
MnF3,35.065533068606946
Li3VF8,7.3295231405677725
Ba3WO6,27.065703304193395
K2PdO2,18.243896734921144
BeVRu2,86.38580591049156
NiCl2,8.005874150163411
Li3C,42.0
CoPO4,14.18764208313084
VO2,118.7103029314201
Ti2AlZn,15.971342562955098
VSb2,47.15637373211257
HfBiO4,60.07957249549296
K3Co(NO2)6,11.0
TiSiTc2,86.47351944662658
Li(CuO2)2,43.892142496173314
CdI2,3.0
P2Pt,117.30394973143262
HfMgPd2,37.781447049658226
NaNi2O3,52.08170748987092
NaZnN,32.92651278913888
LiPm2Os,26.0
FeSb3,44.36079345370258
Mn3Sn,55.0
Y(SiOs)2,84.67248176680644
RbNbO3,17.951507996605326
Sn7Ir5,58.0
Ba2Cd,9.211064519242136
AlCuSe2,28.43240186138885
Mg2H2O3,32.7405482174117
Li7VP4,13.699065943551528
TiI4,1.0
RbPt2Se3,12.31276329274625
LiCeSn2,28.16819648129009
FeCuSe2,13.531540300154283
LiAlTe2,12.997577248222589
MnSbIr,40.18168876873982
BaHfN2,43.897920551633966
Zr2Co,19.59626318828486
GeAs2,12.0
CsAgCl3,6.170302461955365
MnPtF6,19.50030316218133
MgInAg2,52.0
Fe3PO7,47.580221038243465
Na2HfN2,21.577279178550768
VCuO3,23.129226776209013
LiPt,51.3497250455785
Fe3Ge,45.98420371614903
Be2CoPt,110.82159422552829
Pb(SN)2,3.329148791842566
Y2PdRu,38.656348007420966
TiMn2V,82.47880122174266
KHCO3,9.97995119299066
Sn4Ir,35.8233808048356
ZrZn2,59.0
Be2PdRh,100.35756114691
Ti3Tl,57.94828172940469
Mg3ZnC,34.0
SrMgIn3,21.9898978039968
OsPbO3,73.2186826974302
Rb2PtF6,10.0
Na5OsN4,15.112158711028457
Pb2Au,12.646417525175018
CuAgS,15.193687986886475
Mn3PtN,76.85964203156091
ScCrC2,133.18231212750342
ScBRh3,95.62551931677032
VSiTc2,102.0
SiCl4,0.0284635227674611
Cr3B4,210.54221415319145
MnAu4,30.92739053029883
Ca3BiAs,12.0
Si2Ru,108.0
FeAs2,110.4774733731127
TiRh3,129.11856500569084
LiSbAu,6.900743812572548
B9C,119.18368607364224
SrAgO3,46.90216251830577
Nb4N5,157.0
Cr2ReO6,105.0
Zr2Cu,47.22782021466364
TiNi2Sn,39.94842854397736
Fe3C,80.7501667949966
Tl3BO3,10.763994276091974
Mg2Al2Se5,9.453376800383875
YCuSb2,30.97494661999527
Ba(CoN)2,33.0
MnPbO3,66.0
CaAg2,15.430928764075682
Ba2LiN,6.138688486537825
Cs2Pd3Se4,5.249615322687868
LiFePO4,48.0524326806621
Ti3TeO8,13.434651352957475
HfSnRu2,108.62008677433002
Ti2TcOs,99.64793566720402
KNbS2,43.94819541635508
MgTlRh2,56.05222064614686
AsBr3,1.1403792094691765
Mg17Al12,24.0
Cr3Te4,16.123146851182355
Y2IrRh,46.95244872139858
ErN,132.0
HgPd3,30.598980987613373
K(CuSe)2,13.402089830029247
VF2,34.58232825166839
Li(Co3P2)2,97.49242771891912
InN,108.0
LiZnAu2,13.009808410492669
LiRhO2,48.49596673932931
Y2Mg,18.324984543980307
ZnP4,35.22328954646297
Sc2CuIr,43.243982142478714
Rb2PdC2,13.7246532939496
CaSiO3,47.0
In3SbTe2,6.0
V2TcRu,112.16856833613215
OsN2,117.4374711972109
HfInAu2,24.69875199920532
B13C2,158.8343419746464
Nb5Se4,53.0
MgPd5,38.681064641376736
Li7SbN4,63.82431230111723
