formula,band_gap (MP)
Li4Co5SnO12,0.7200000000000002
Pr2ZrSe5,0.7200999999999995
CoSb2O7,0.7201
NaCeP2H2CO7,0.7201000000000002
KNbWO7,0.7202000000000001
Yb11InSb9,0.7202999999999999
Ce2WO6,0.7202999999999999
Dy2Cu(GeO3)4,0.7202999999999999
Pd(SN)4,0.7204
Li6Mn5SbO12,0.7204999999999999
MgFe8(OF)8,0.7204999999999999
Sr4FeMoO8,0.7205999999999997
Ca9Si4O17F,0.7206000000000001
Na2ZnSi2Sn3(SO6)4,0.7206000000000001
Li4V4(OF3)3,0.7206999999999999
KLi2Mn2O4,0.7206999999999999
HfMg14FeO16,0.7208000000000006
La3SbO3,0.7208999999999994
LiMn(PO3)4,0.7209999999999999
Pr9Ga5Se21,0.7210000000000001
Sr2NbWO6,0.7211999999999996
FeNiAg2F7,0.7212
Cs2AgAuCl6,0.7212999999999999
KCu(BiS2)2,0.7213999999999996
Li17Ni11O28,0.7214
MgTi2(Fe2O5)2,0.7214999999999998
CaV6O11F,0.7215000000000003
Na2Al2Sb3,0.7215999999999996
Mo2SeS3,0.7216
K4Cu4Sn7,0.7216
V2Se9,0.722
MgV6O5F19,0.722
LiMn(PO3)4,0.7221000000000001
Li4Mn3O7,0.7222
NaMn(SiO3)2,0.7222999999999997
TiVO4,0.7223000000000002
Yb(SbTe2)2,0.7223000000000006
CuPHO4,0.7223999999999999
Li7V3P8O29,0.7224999999999999
MoW2(Se2S)2,0.7225999999999999
MnSe3O8,0.7225999999999999
La10S19,0.7225999999999999
Li7Mn5O12,0.7225999999999999
V2OF5,0.7225999999999999
Mn(PO3)3,0.7225999999999999
Na6Mg4Nb4Si5S7O48,0.7226000000000001
CsHgF3,0.7228
CaLa2CoO6,0.7228000000000003
Li6V5SbO12,0.7228000000000003
Sr3(InN2)2,0.7228999999999997
Li3Mn3TeO8,0.7228999999999997
K2Cr4CdO16,0.7229
Mg(FeO2)2,0.7229000000000001
RbLiMn3O4,0.7229999999999999
Fe(SiO3)2,0.723
LiCrFeO4,0.7231999999999998
Li2Cr(CoO3)2,0.7232000000000003
CaAl2Si2(WO4)2,0.7232999999999996
Al3P3C4NO13,0.7232999999999999
CaV4(CoO4)3,0.7233
Li3MnSi2O7,0.7233999999999998
MgV4O8,0.7233999999999998
