formula,Temperature,Seebeck (uV/K)
BaB6,600.0,-50.0
CaB6,300.0,-350.0
CaB6,600.0,-226.0
CaB6,300.0,-110.0
CaB6,1000.0,-188.0
SrB6,300.0,-350.0
SrB6,600.0,-102.0
Cu5Yb rt,50.0,-27.0
Fe1.11Te rt,298.0,-1.25
Fe1.11Te rt,298.0,-1.44
Fe1.11Te rt,298.0,-6.5
Fe1.11Te rt,75.0,-7.4
Fe1.11Te rt,300.0,-1.5
GaSb rt,298.0,600.0
NbO2 ht,1220.0,-110.0
NbO2 ht,1270.0,-120.0
UNi5,300.0,38.0
UNi5,190.0,46.0
WO3 ht2,823.0,350.0
WO3 ht2,973.0,330.0
Cu5Cd8,298.0,-0.33
Er5Si4 O(I),290.0,-8.1
Er5Si4 O(I),290.0,-8.3
Er5Si4 O(I),200.0,-5.6
Er5Si4 O(I),200.0,-4.5
AgY,300.0,7.0
AgY,278.0,6.4
AlB2,280.0,-0.6
BaSi2,337.0,-669.0
BaSi2,340.0,-679.0
BaSi2,298.0,0.0
HoCo2 rt,40.0,4.5
HoCo2 rt,278.0,-11.5
HoCo2 rt,88.0,-4.3
Ta2Co,310.0,-3.0
MnS rt,298.0,1070.0
NaPb rt,686.0,52.0
NbP2,298.0,10.0
NiP2 rt,300.0,100.0
YSb,298.0,-10.0
AuGa2,298.0,11.25
AuGa2,298.0,2.44
CeB6 rt,10.0,64.0
CeB6 rt,8.0,69.0
CeB6 rt,1.7,-9.0
CeB6 rt,10.0,59.3
Fe2B,250.0,12.0
Fe2B,115.0,4.0
PrB6 lt,7.6,0.27
PrB6 lt,15.6,-0.33
Bi0.88Sb0.12,298.0,-92.5
Bi0.88Sb0.12,300.0,-90.0
Bi0.88Sb0.12,,-115.0
Bi0.88Sb0.12,,-85.0
Bi0.88Sb0.12,300.0,97.5
Bi0.88Sb0.12,300.0,88.7
Ce3Sn,30.0,6.0
Ce3Sn,5.0,20.5
Ce3Sn,300.0,28.0
Ce3Sn,300.0,32.0
Ce3Sn,300.0,18.0
Eu2Sb3,298.0,95.0
Gd3Ni,10.0,1.4
Gd3Ni,39.0,0.2
Gd3Ni,100.0,1.8
Gd3Ni,88.0,2.05
GdNi2,110.0,-21.8
GdNi2,80.0,-16.6
Nd7Ni3,300.0,4.2
Tl2Te3,343.0,600.0
Tl2Te3,300.0,100.0
YbAl3,473.0,-90.0
YbAl3,307.0,-95.0
GdB66,300.0,390.0
La3Co,290.0,-2.0
La3Co,47.0,0.0
Mn0.23Pd0.77 ht,773.0,-32.0
Mn0.23Pd0.77 ht,773.0,-36.8
Mn0.23Pd0.77 ht,773.0,-46.4
Mn0.23Pd0.77 ht,773.0,-34.0
Mn0.23Pd0.77 ht,773.0,-27.3
Mn0.23Pd0.77 ht,773.0,-16.0
FeAs,298.0,-3.36
FeAs2,298.0,-200.0
FeAs2,345.0,-120.0
FeAs2,800.0,0.0
MgB2,300.0,10.21
MgB2,200.0,6.0
MgB2,280.0,6.8
MgB2,100.0,4.0
MgB2,100.0,-0.46
MgB2,100.0,-1.09
MgB2,300.0,7.6
MgB2,50.0,1.7
CoSb3,300.0,216.0
CoSb3,300.0,167.0
