formula,Temperature,Seebeck (uV/K)
CuCr0.98Mg0.02O2,700.0,351.827
CuCr0.98Mg0.02O2,1000.0,354.817
WO3,300.0,97.9094
WO3,400.0,107.578
WO3,700.0,124.826
WO3,1000.0,160.801
W0.99O2.97Co0.02O0.03,300.0,92.5958
W0.99O2.97Co0.02O0.03,400.0,97.0383
W0.99O2.97Co0.02O0.03,700.0,113.502
W0.99O2.97Co0.02O0.03,1000.0,113.937
W0.95O2.95Co0.1O0.15,300.0,103.223
W0.95O2.95Co0.1O0.15,400.0,106.01
W0.95O2.95Co0.1O0.15,700.0,120.122
W0.95O2.95Co0.1O0.15,1000.0,125.61
W0.9O2.7Co0.2O0.3,300.0,103.833
W0.9O2.7Co0.2O0.3,400.0,105.575
W0.9O2.7Co0.2O0.3,700.0,121.603
W0.9O2.7Co0.2O0.3,1000.0,124.216
CaMnO3,300.0,-650.91
CaMnO3,400.0,-587.185
CaMnO3,700.0,-362.325
CaMnO3,1000.0,-282.213
CaYb0.05Mn0.95O3,300.0,-109.244
CaYb0.05Mn0.95O3,400.0,-124.72
CaYb0.05Mn0.95O3,700.0,-168.417
CaYb0.05Mn0.95O3,1000.0,-244.888
CaYb0.1Mn0.9O3,300.0,-52.8011
CaYb0.1Mn0.9O3,400.0,-60.084
CaYb0.1Mn0.9O3,700.0,-84.6639
CaYb0.1Mn0.9O3,1000.0,-128.361
CaYb0.15Mn0.85O3,300.0,-38.2353
CaYb0.15Mn0.85O3,400.0,-49.1597
CaYb0.15Mn0.85O3,700.0,-60.9944
CaYb0.15Mn0.85O3,1000.0,-101.05
CaYb0.4Mn0.6O3,300.0,-9.10364
CaYb0.4Mn0.6O3,400.0,-20.028
CaYb0.4Mn0.6O3,700.0,-50.9804
CaYb0.4Mn0.6O3,1000.0,-25.4902
In2O3,300.0,-156.078
In2O3,400.0,-172.722
In2O3,700.0,-202.219
In2O3,1000.0,-222.736
In1.998Ge0.002O3,300.0,-88.5671
In1.998Ge0.002O3,400.0,-105.832
In1.998Ge0.002O3,700.0,-146.168
In1.998Ge0.002O3,1000.0,-177.832
In1.994Ge0.006O3,300.0,-50.4768
In1.994Ge0.006O3,400.0,-62.4767
In1.994Ge0.006O3,700.0,-94.1419
In1.994Ge0.006O3,1000.0,-119.305
In1.985Ge0.015O3,300.0,-46.7607
In1.985Ge0.015O3,400.0,-56.5928
In1.985Ge0.015O3,700.0,-83.3032
In1.985Ge0.015O3,1000.0,-108.464
In1.94Ge0.06O3,300.0,-50.7871
In1.94Ge0.06O3,400.0,-60.6186
In1.94Ge0.06O3,700.0,-88.5677
In1.94Ge0.06O3,1000.0,-114.967
In1.9Ge0.1O3,300.0,-53.2639
In1.9Ge0.1O3,400.0,-65.5729
In1.9Ge0.1O3,700.0,-93.2129
In1.9Ge0.1O3,1000.0,-117.444
In1.8Ge0.2O3,300.0,-52.3343
In1.8Ge0.2O3,400.0,-64.0245
In1.8Ge0.2O3,700.0,-86.4
In1.8Ge0.2O3,1000.0,-110.012
LaCoO3,300.0,-390.0
LaCoO3,400.0,140.3
LaCoO3,700.0,28.76
LaCoO3,1000.0,15.7
La0.99Sr0.01CoO3,300.0,395.0
La0.99Sr0.01CoO3,400.0,304.0
La0.99Sr0.01CoO3,700.0,32.48
La0.99Sr0.01CoO3,1000.0,18.56
La0.98Sr0.02CoO3,300.0,330.0
La0.98Sr0.02CoO3,400.0,243.5
La0.98Sr0.02CoO3,700.0,28.76
La0.98Sr0.02CoO3,1000.0,17.6
La0.95Sr0.05CoO3,300.0,214.7
La0.95Sr0.05CoO3,400.0,129.0
La0.95Sr0.05CoO3,700.0,25.04
La0.95Sr0.05CoO3,1000.0,14.8
La0.8Sr0.2CoO3,300.0,21.32
La0.8Sr0.2CoO3,400.0,17.6
La0.8Sr0.2CoO3,700.0,10.17
La0.8Sr0.2CoO3,1000.0,5.52
Yb14MnSb11,300.0,56.4516
Yb14MnSb11,400.0,68.7334
Yb14MnSb11,700.0,117.242
Yb14MnSb11,1000.0,164.143
Zn4Sb3,300.0,110.866
Zn4Sb3,400.0,146.015
Zn4Sb3,700.0,205.872
CeFe2Co2Sb12,300.0,126.0
CeFe2Co2Sb12,400.0,154.0
CeFe2Co2Sb12,700.0,166.0
CeFe3CoSb12,300.0,101.0
CeFe3CoSb12,400.0,127.0
CeFe3CoSb12,700.0,176.0
CeFe3.5Co0.5Sb12,300.0,87.2
CeFe3.5Co0.5Sb13,400.0,107.0
CeFe3.5Co0.5Sb14,700.0,158.0
CeFe4Sb12,300.0,58.2
CeFe4Sb12,400.0,75.7
CeFe4Sb12,700.0,127.0
AgCrSe2,300.0,279.207
AgCrSe2,400.0,300.119
AgCrSe2,700.0,306.696
Zn0.9975Al0.0025O,300.0,-132.097
Zn0.9975Al0.0025O,400.0,-135.054
Zn0.9975Al0.0025O,700.0,-180.753
Zn0.9975Al0.0025O,1000.0,-218.521
Zn0.995Al0.005O,300.0,-115.43
Zn0.995Al0.005O,400.0,-128.468
Zn0.995Al0.005O,700.0,-162.876
Zn0.995Al0.005O,1000.0,-204.677
Zn0.9925Al0.0075O,300.0,-113.952
Zn0.9925Al0.0075O,400.0,-123.495
Zn0.9925Al0.0075O,700.0,-154.543
Zn0.9925Al0.0075O,1000.0,-187.876
Zn0.99Al0.01O,300.0,-110.995
