formula,Temperature,Rho (Ohm.cm)
LaOBiS.14Se.06,400.0,3.922879177
Cu2Se,700.0,3.9811E-03
La0.05Ca2.85Co3.8O8.55,1000.0,0.019086118
BaPbO3,1000.0,0.000858552
CaMn0.98Ru0.02O3,1000.0,0.0279999
In1.9Ge0.1O3,700.0,0.0017302
La2.99Te4,1000.0,0.000974
Cu3Sb0.94Bi0.06S4,400.0,0.028508495
W0.99O2.97Co0.02O0.03,400.0,707.6990581
SrTi0.8Nb0.2O3,1000.0,0.002564103
CaMn0.98Nb0.02O3,400.0,0.0215409
Na0.02PbTe0.85Se0.15,700.0,0.00160579
Cu2HgSnSe0.8Te3.2,700.0,0.001600907
La1.95Sr0.05CuO4,1000.0,0.0191756
CeFe2Co2Sb12,400.0,3.85E-03
Mg0.9975Li0.0025Ag0.97Sb 0.99,400.0,0.002543324
Zr0.99Nb0.01NiSn,300.0,0.00109507
Cu1.98S,300.0,2.5551E-02
Ca0.98La0.02MnO3,400.0,0.046114613
Bi.98Ca.01Pb.01CuSeO,300.0,0.005873384
Cu0.99GaTe2,700.0,0.004097866
Ca0.9Y0.1MnO3,300.0,0.017755745
SrMn0.98Mo0.02O3,1000.0,0.0355363
Tl2GeTe5,300.0,0.02314
CuInTe2(annealed 1hr),400.0,0.031410585
Bi.48SB1.52Te3+2%(Mn.8Cu.2Sb2Se4),400.0,0.001504065
AgCrSe2,700.0,0.0328604
Ca0.96Sm0.04MnO3,700.0,0.00825459
CuGaTe2,400.0,0.037295415
Na.96CoO2,300.0,0.01082
BiSbTe3,300.0,1232846.739
Mg3.07Sb1.5Bi0.46Se.04,400.0,0.01223431
Mg3.07Sb1.5Bi0.47Se.03,300.0,0.013221757
Sr0.9La0.1TiO3,300.0,0.002614215
Ca0.92La0.08MnO3,700.0,0.013632206
CeFeCo3Sb12,300.0,0.0104532
Na.96CoO2,1000.0,0.01312
Cu1.97S,300.0,1.2643E-02
Mg2Si0.6Ge0.4Ag0.02,300.0,0.0513
YbCd1.8Mg0.2Sb2,700.0,0.005033979
LaNiO3,700.0,0.00460122
Cu2ZnSn.85In0.15Se4,300.0,2885245.902
CaMn6.5Cu0.5O12,400.0,0.172634
CaMn0.98Nb0.02O3,1000.0,0.0308794
Mo6Te6S2,300.0,8.57E-04
