,formula,target
310,TmVO4,-14.413347558719895
900,YbGaGe,12.417143615610113
664,Sr0.2FeBi0.8O3,-12.568478264177891
520,DyOH3,-9.457520501118633
1467,Ba0.99La0.01Ti0.99Co0.01O3,-8.517193191416238
1336,Hf0.5Zr0.5RhSn0.01Sb0.99,9.100525505968976
205,GdN,5.703782474656201
1594,BaNb0.5Bi0.5O3,-7.501057124572366
1264,Ba4Cu3.75Si2Te9,0.6931471805599453
1289,K0.54Sn4.68Bi2.78Se9,11.082142548877775
636,Cu0.5Fe2Ni0.5O4,-8.394975558691987
991,RbKBi8Se13,11.198214720130528
640,La0.08Zr0.55Ti0.45Pb0.92O3,-12.000685815805223
574,BaCu3LaYO7,2.1972245773362196
726,K1.6Pb2.3Bi8.0Se14,11.05089000537367
315,PbSb2Se4,18.60300230074632
1141,ZnV0.1Cr1.9Se4,-2.900422093749666
1489,Mg0.02Zn0.98SO4CSN2H43,-23.38252587387919
1409,Cs0.8Sn4.3Bi10.6Se21,9.740968623038354
1347,K7.5Ag13.5Ce6Te27,7.9724660159745655
851,Er0.15Nb0.1Bi0.75O1.6,-8.947976107508692
948,NH42PtC2O42H2O2,-6.907755278982137
825,Ag5Te1.8S0.2Cl,0.6418538861723947
994,Ag5Te1.6Se0.4Cl,-3.582719258285546
1636,Tl4ZrTe4,6.309918278226516
1340,SrCo0.95Si0.05O2.79,10.46310334047155
188,ZrSe2,8.006367567650246
189,TlSe0.5S0.5,-3.5267606046375013
683,Ho2Mo2O7,9.698920386794853
242,La2NiO4,8.716044050161402
1512,KLa0.005NbAl0.005O3,-12.206072645530174
498,KNbO3,-15.01948336229021
41,PbS,3.2347491740244907
985,TaS2,9.740968623038354
99,Bi0.88Sb0.12,11.630708500626612
1043,Ce0.6Fe2.9Ni1.1Sb12,11.669929213779893
953,Yb8Ge3Sb5,11.49272275765271
1441,MoRe0.01S2,5.308267697401205
484,Cu0.5Mn0.5Fe2O4,0.3364722366212129
1619,CsC24,16.64872390202049
250,TiPbO3,-10.809827953557114
436,CdIn2O4,12.206072645530174
76,NiSe2,13.217673557208654
1178,Cu0.9Zn0.2In0.9S2,-9.115030192171858
516,Ca0.5Y0.5MnO3,-1.4271163556401458
1379,BaGdFe2O5.02,1.1631508098056809
1097,CsCe3Te8,0.5877866649021191
1009,Hg2.86AsF6,13.676248490630767
439,LiMgVO4,-8.740399244683653
419,Cu2Er2O5,-18.54851411546225
1322,TiCoGe0.15Sb0.85,9.154827662045925
502,Cu1.1Ti0.1Fe1.8O4,-5.987472525838444
936,CaCe0.7TiNbO6.55,-2.995729873556871
1396,Bi1.93Sb0.09Te2.72I0.26,11.409784706050715
1238,RbUSb0.33Te6,8.294049640102028
1203,K0.6Ba6.4Cu2.58Te14,-6.907755278982137
200,CdSe,-9.720333009438281
349,Tl4SnTe3,10.12755068090972
1089,BaGd0.050Fe0.950O2.67,1.1631508098056809
1230,In1.949Ge0.051O3.026,7.787382026484701
635,Li0.33La0.56TiO3,-4.605170185988091
1224,W2BiCl8O2,4.0943445622221
1177,LiTaCrPO43,-7.385791079925137
318,Ca0.88Gd0.12F2.12,-19.806975105072254
807,Rb0.18Sn1.18Bi5.82Se10,11.813030057420567
723,Pr4Fe2.04Al6.96Si8,14.038654109278484
581,UNi2Al3,12.206072645530174
355,Be13U,13.554145793829866
1102,KCuBi2S4,1.1631508098056809
493,PbSnF4,1.1505720275988207
180,NdMnO3,0.7884573603642703
244,LiVO3,-25.328436022934504
1509,V0.2Mo5.8SnS8,12.89921982609012
274,LaFeO3,-1.0498221244986778
940,NaCoSO4F,-11.827629702981783
392,Er0.62Al0.73B14,3.4011973816621555
220,La2CoO4,3.912023005428146
234,V4O7,12.206072645530174
34,Bi6Cl7,-4.892852258439873
85,ZnO,0.0
156,KBr,-14.951824713816395
1064,AgI,-0.42480084441490673
982,BaBiO3,-5.757183251383316
827,SrCuSF,-4.779523573132869
363,Zr3O,26.203904760288403
824,Ag5Te2Br0.5Cl0.5,-3.0576076772720784
1195,BaPtCN4H2O4,-10.124134223651751
380,Tl2SnTe3,7.208600337960199
1547,AgCd2GaTe0.12S3.88,0.6931471805599453
1167,CuRh5Bi1.4O11,3.4011973816621555
509,V2FeSe4,10.936672035881783
67,InCl,-13.815510557964274
1517,Ge9Bi2Te12,11.451050061252142
1690,Ga0.05Bi1.9Te0.05S2.95,-0.19845093872383832
893,SrMoN0.5O2.5,8.922658299524402
976,Na2Co2TeO6,-7.728735831051967
1533,TiCr0.1Se2,9.903487552536127
471,Cu0.5Cr2Co0.5S4,11.695247021764184
919,Ti0.33Fe0.33Sb0.33O2,-11.330603908176274
393,CeAlO3,-6.907755278982137
1198,HgNb6Br16H2O18,0.0
1548,Ag0.25Cd0.5Ga0.25Te0.9S0.1,-2.3025850929940455
819,Ba0.996Y0.004TiO3,-19.624653548278303
1640,Ag7PO4I4,9.305650551780507
347,Si33P13Te6.88,-1.6094379124341003
74,NbO2,-5.991464547107982
329,LaBO3,-6.502290170873972
1389,Zn0.67TiNb0.83Bi1.5O7,-18.113196044204404
1697,DNH43SO42,-19.018517744707985
913,Cd0.75Cr2Sb0.25Se4,-16.022785471153995
134,Sb2Te,11.918390573078392
103,KCl,-16.62892127472431
9,Ag,17.72753356339242
1127,Mg0.5LaTa0.5N0.5O2.5,-9.47105599619815
